Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.000716667951646768,-0.0220467546898447,-0.00525012125053753,0,0,0,0.0420250780697651,7.03835468352771E-06,4.54494835168959E-08,-1.34095035418891E-08,8.07960101558684E-06,1.78358247621345E-07,9.6532965389247E-06,0,0,0,0,0,0,package://GreiferZF_2016/meshes/base_link.STL,0.647058823529412,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://GreiferZF_2016/meshes/base_link.STL,,M2x3_Innensechskant-14;M3x8_Innensechskant_schwarz-18;Abstandhalter_M3-20mm-ww-5;Gleitlager_IGUS_GFM-081014-06-15;GreiferZF_2016_Achse-7;M2x3_Innensechskant-13;Gleitlager_IGUS_GFM-081014-06-14;M3x8_Innensechskant_schwarz-20;Splint_3x14-6;Zahnritzel_Maedler29203000-6;M2x3_Innensechskant-11;M2x3_Innensechskant-10;M3x16_Innensechskant_schwarz-1;GreiferZF_2016_Platte 2-3;Zahnritzel_Maedler21201600-1;GreiferZF_2016_Achse-1;GreiferZF_2016_Verkleidung 2-1;GreiferZF_2016_Platte 1-1;Gleitlager_IGUS_GFM-081014-06-2;Abstandhalter_M3-20mm-ww-2;Splint_3x14-1;Zahnritzel_Maedler29203000-1;M3x8_Innensechskant_schwarz-3;Motor RS für GreiferZF_2016-1;Abstandhalter_M3-20mm-ww-4;M3x8_Innensechskant_schwarz-13;M2x3_Innensechskant-5;Gleitlager_IGUS_GFM-081014-06-13;M2x3_Innensechskant-12;Gleitlager_IGUS_GFM-081014-06-12;M3x8_Innensechskant_schwarz-16;M3x8_Innensechskant_schwarz-15,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
gripper_a,-2.63929004545528E-05,-0.00428504497802679,0.0208602404512305,0,0,0,0.00998043833114313,3.94265701566114E-06,-1.29448842700966E-11,2.24074768068578E-11,3.66921985815796E-06,1.92289374934855E-07,5.30574201923679E-07,0,0,0,0,0,0,package://GreiferZF_2016/meshes/gripper_a.STL,0.101960784313725,0.101960784313725,0.101960784313725,1,0,0,0,0,0,0,package://GreiferZF_2016/meshes/gripper_a.STL,,GreiferZF_2016_Finger-15;GreiferZF_2016_Gumminoppen-8,Koordinatensystem1 <GreiferZF_2016_Finger-15>,Achse1 <GreiferZF_2016_Finger-15>,joint_a,revolute,-0.0105,0.00085663,-0.029246,-2.8041,0,1.5708,base_link,1,0,0,0,0,0,0,,,,,,,,
gripper_b,8.09543524907481E-08,-0.00428504497802674,0.0208602404512296,0,0,0,0.00998043833114302,3.94265701565814E-06,-1.29448837528763E-11,2.24074773134326E-11,3.66921985809367E-06,1.92289374934843E-07,5.30574201861358E-07,0,0,0,0,0,0,package://GreiferZF_2016/meshes/gripper_b.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://GreiferZF_2016/meshes/gripper_b.STL,,GreiferZF_2016_Gumminoppen-1;GreiferZF_2016_Finger-3,Koordinatensystem1 <GreiferZF_2016_Finger-3>,Achse1 <GreiferZF_2016_Finger-3>,joint_b,revolute,0.0105,0,-0.029246,-2.8041,0,-1.5708,base_link,1,0,0,0,0,0,0,,,,,,,,
